#"favoritfik (favoritfiket, –, favoritfiken)<br><i>Mitt favoritfik har det godaste kaffet.</i>","favourite café / coffee shop<br><i>My favourite café has the best coffee.</i>"
"ofta<br><i>Jag tränar ofta på morgonen.</i>","often<br><i>I often work out in the morning.</i>"
"älska (älskar, älskade, älskat)<br><i>Jag älskar att resa.</i>","love<br><i>I love to travel.</i>"
"favoritplats (favoritplatsen, favoritplatser, favoritplatserna)<br><i>Stranden är min favoritplats på sommaren.</i>","favourite place<br><i>The beach is my favourite place in the summer.</i>"
"glad (glatt, glada)<br><i>Jag är glad idag för att solen skiner.</i>","happy<br><i>I’m happy today because the sun is shining.</i>"
"stund (stunden, stunder, stunderna)<br><i>Vänta en stund, jag kommer snart.</i>","moment<br><i>Wait a moment, I’ll be right there.</i>"
"bagare (bagaren, –, bagarna)<br><i>Min farfar var bagare och gjorde fantastiskt bröd.</i>","baker<br><i>My (paternal) grandfather was a baker and made fantastic bread.</i>"
"baka (bakar, bakade, bakat)<br><i>Vi ska baka bullar i helgen.</i>","bake<br><i>We’re going to bake buns this weekend.</i>"
"fikabröd (fikabrödet, –, fikabröden)<br><i>Vi köpte lite fikabröd till kaffet.</i>","pastry<br><i>We bought some pastries for the coffee break.</i>"
"ut<br><i>Jag går ut för att få lite frisk luft.</i>","out<br><i>I’m going out to get some fresh air.</i>"
"provsmaka (provsmakar, provsmakade, provsmakat)<br><i>Vill du provsmaka kakan innan servering</i>","taste / sample<br><i>Do you want to taste the cake before serving</i>"
"bulle (bullen, bullar, bullarna)<br><i>Jag åt en bulle till frukosten.</i>","roll, bun<br><i>I ate a bun for breakfast.</i>"
"kaka (kakan, kakor, kakorna)<br><i>Jag bakade en kaka till fikat.</i>","cookie, biscuit<br><i>I baked a cookie for the coffee break.</i>"
"smörgås (smörgåsen, smörgåsar, smörgåsarna)<br><i>Jag gjorde en smörgås med ost och skinka.</i>","sandwich<br><i>I made a sandwich with cheese and ham.</i>"
"kardemummabulle (kardemummabullen, kardemummabullar, kardemummabullarna)<br><i>En kardemummabulle är min favorit på café.</i>","cardamom bun, cardamom roll<br><i>A cardamom bun is my favourite at the café.</i>"
"semla (semlan, semlor, semlorna)<br><i>Vi äter semlor i februari.</i>","semla, Swedish cream bun<br><i>We eat semlor in February.</i>"
"allt (phr)<br><i>Jag vill smaka på allt på buffén.</i>","everything<br><i>I want to taste everything on the buffet.</i>"
"god (gott, goda)<br><i>Maten här är väldigt god.</i>","good<br><i>The food here is really good.</i>"
"ligga (ligger, låg, legat)<br><i>Butiken ligger nära stationen.</i>","be located<br><i>The store is located near the station.</i>"
"hjälpa (hjälper, hjälpte, hjälpt)<br><i>Jag kan hjälpa dig med läxan.</i>","help<br><i>I can help you with your homework.</i>"
"följa med (följer, följde, följt)<br><i>Vill du följa med på konserten</i>","join in, come along<br><i>Do you want to come along to the concert</i>"
"gärna<br><i>Jag hjälper dig gärna.</i>","gladly / willingly<br><i>I’ll gladly help you.</i>"
"länge<br><i>Jag har bott här länge.</i>","a long time / long<br><i>I’ve lived here for a long time.</i>"
"sak (saken, saker, sakerna)<br><i>Jag glömde en sak i bilen.</i>","thing<br><i>I forgot something in the car.</i>"
"stackars<br><i>Stackars dig, du ser trött ut.</i>","poor / unfortunate<br><i>Poor you, you look tired.</i>"
"då<br><i>Vi åker då om du är redo.</i>","then<br><i>We’ll leave then if you’re ready.</i>"
"bara<br><i>Jag har bara fem minuter kvar.</i>","only<br><i>I only have five minutes left.</i>"
"snus (-et)<br><i>Han använder snus istället för cigaretter.</i>","snuff<br><i>He uses snuff instead of cigarettes.</i>"
"livs (= livsmedelsbutik)<br><i>Jag går till livs och handlar mjölk.</i>","grocery store<br><i>I’m going to the grocery store for milk.</i>"
"perfekt (-a)<br><i>Vädret är perfekt för en picknick.</i>","perfect<br><i>The weather is perfect for a picnic.</i>"
"wienerbröd (-et, -en, -ena)<br><i>Jag köpte ett wienerbröd till kaffet.</i>","Danish pastry<br><i>I bought a Danish pastry with my coffee.</i>"
"hjälpverb (-et, -, -en)<br><i>“Ska”, “vill” och “kan” är vanliga hjälpverb.</i>","helping verb<br><i>“Ska,” “vill,” and “kan” are common helping verbs.</i>"
"infinitiv (-et, -, -en)<br><i>I svenskan slutar många verb i infinitiv på -a.</i>","infinitive<br><i>In Swedish, many verbs in the infinitive end in -a.</i>"
"ska<br><i>Jag ska resa till Spanien i sommar.</i>","will (verb)<br><i>I will travel to Spain this summer.</i>"
"vilja (vill, ville, velat)<br><i>Jag vill lära mig mer svenska.</i>","want<br><i>I want to learn more Swedish.</i>"
"satsadverbial (-et)<br><i>Ordet “inte” är ett vanligt satsadverbial.</i>","adverbial<br><i>The word “inte” is a common adverbial.</i>"
"demonstrativa pronomen (phr)","demonstrative pronouns"
"när<br><i>När ska vi åka?</i>","when<br><i>When shall we go (by vehicle)?</i>"
"peka (pekar, pekade, pekat)<br><i>Kan du peka på kartan?</i>","point<br><i>Can you point on the map?</i>"
"nära<br><i>Biblioteket ligger nära skolan.</i>","near / close to<br><i>The library is close to the school.</i>"
"en bit bort (phr)<br><i>Stranden ligger en bit bort från huset.</i>","a short distance away<br><i>The beach is a short distance away from the house.</i>"
"kontrollera (kontrollerar, kontrollerade, kontrollerat)<br><i>Kontrollera om du har rätt kvitto.</i>","control / check<br><i>Check if you have the correct receipt.</i>"
#"sök<br><i>Sök på internet för mer information.</i>","search<br><i>Search on the internet for more information.</i>"
"<i>Sök på internet för mer information.</i>","<i>Search on the internet for more information.</i>"
"bild (bilden, bilder, bilderna)<br><i>Vilken bild föredrar du?</i>","picture<br><i>Which picture do you prefer?</i>"
"morotskaka (morotskakan, morotskakor, morotskakorna)<br><i>Jag älskar morotskaka till fikat.</i>","carrot cake<br><i>I love carrot cake during coffee time.</i>"
"chokladboll (chokladbollen, chokladbollar, chokladbollarna)<br><i>En chokladboll är en klassisk svensk fika.</i>","chocolate ball<br><i>A chocolate ball is a classic Swedish fika treat.</i>"
"mazarin (mazarinen, mazariner, mazarinerna)<br><i>Jag föredrar en mazarin till kaffet.</i>","almond pastry<br><i>I prefer an almond pastry with my coffee.</i>"
