"skolklass (skolklassen, skolklasser, skolklasserna)<br><i>Vår skolklass åker på studiebesök i morgon.</i>","class<br><i>Our class is going on a field trip tomorrow.</i>"
"planet (planeten, planeter, planeterna)<br><i>Jorden är en blå planet.</i>","planet<br><i>Earth is a blue planet.</i>"
"astronaut (astronauten, astronauter, astronauterna)<br><i>Hon drömmer om att bli astronaut.</i>","astronaut<br><i>She dreams of becoming an astronaut.</i>"
"månen (månen)<br><i>Månen lyser klart i natt.</i>","the moon<br><i>The moon shines brightly tonight.</i>"
"därifrån<br><i>Vi tog bussen därifrån.</i>","from there<br><i>We took the bus from there.</i>"
"rymden (rymden)<br><i>Han vill forska om rymden.</i>","space<br><i>He wants to do research on space.</i>"
"rymdraket (rymdraketen, rymdraketer, rymdraketerna)<br><i>Rymdraketen lyfte klockan sju.</i>","space rocket<br><i>The rocket launched at seven.</i>"
"trädgårdsmästare (trädgårdsmästaren, trädgårdsmästare, trädgårdsmästarna)<br><i>Trädgårdsmästaren beskär äppelträden.</i>","gardener<br><i>The gardener prunes the apple trees.</i>"
"kontor (kontoret, kontor, kontoren)<br><i>Hon arbetar på ett stort kontor.</i>","office<br><i>She works in a large office.</i>"
"stirra (stirrar, stirrade, stirrat)<br><i>Stirra inte på folk, det är oartigt.</i>","stare<br><i>Don’t stare at people; it’s rude.</i>"
"fotbollsproffs (fotbollsproffset, fotbollsproffs, fotbollsproffsen)<br><i>Han vill bli fotbollsproffs i Europa.</i>","professional footballer<br><i>He wants to become a pro footballer in Europe.</i>"
"rappare (rapparen, rappare, rapparna)<br><i>Rapparen släpper ett nytt album.</i>","rapper<br><i>The rapper is releasing a new album.</i>"
"polisbil (polisbilen, polisbilar, polisbilarna)<br><i>En polisbil körde förbi skolan.</i>","police car<br><i>A police car drove past the school.</i>"
"veterinär (veterinären, veterinärer, veterinärerna)<br><i>Veterinären undersökte hunden.</i>","veterinarian<br><i>The vet examined the dog.</i>"
